download_date,region,fregname,totalposts,subregion,fsubregname,subposts
08312017,Aswan,aswan,3133,Abou Simbel,abou-simbel,13
08312017,Aswan,aswan,3133,Abou al-Reish,abou-al-reish,72
08312017,Aswan,aswan,3133,Aswan City,aswan-city,2251
08312017,Aswan,aswan,3133,Basiliah,basiliah,12
08312017,Aswan,aswan,3133,Daraw,daraw,43
08312017,Aswan,aswan,3133,Edfu,edfu,224
08312017,Aswan,aswan,3133,Kalabsha,kalabsha,15
08312017,Aswan,aswan,3133,Kom Ombo,kom-ombo,397
08312017,Aswan,aswan,3133,Nasr al-Noba,nasr-al-noba,37
08312017,Aswan,aswan,3133,Rdesiah,rdesiah,8
08312017,Aswan,aswan,3133,Sahara,sahara,44
08312017,Aswan,aswan,3133,Sebaeiah,sebaeiah,17
08312017,Asyut,asyut,15012,Abnub,abnub,137
08312017,Asyut,asyut,15012,Abu Teeg,abu-teeg,223
08312017,Asyut,asyut,15012,Asyut City,asyut-city,12377
08312017,Asyut,asyut,15012,Badari,badari,148
08312017,Asyut,asyut,15012,Dairut,dairut,471
08312017,Asyut,asyut,15012,Fateh,fateh,99
08312017,Asyut,asyut,15012,Ghanayem,ghanayem,85
08312017,Asyut,asyut,15012,Manfalut,manfalut,467
08312017,Asyut,asyut,15012,New Assiut,new-assiut,512
08312017,Asyut,asyut,15012,Qusiya,qusiya,337
08312017,Asyut,asyut,15012,Sahel Selim,sahel-selim,108
08312017,Asyut,asyut,15012,Sedfa,sedfa,48
08312017,Luxor,luxor,2968,Armant,armant,92
08312017,Luxor,luxor,2968,Bayadeya,bayadeya,46
08312017,Luxor,luxor,2968,Isna,isna,247
08312017,Luxor,luxor,2968,Luxor City,luxor-city,2359
08312017,Luxor,luxor,2968,Qurna,qurna,52
08312017,Luxor,luxor,2968,Tod,tod,87
08312017,Luxor,luxor,2968,Zinnia,zinnia,85
08312017,Alexandria,alexandria,270064,Abu Qir,abu-qir,2507
08312017,Alexandria,alexandria,270064,Agami,agami,22595
08312017,Alexandria,alexandria,270064,Al Hadrah,al-hadrah,620
08312017,Alexandria,alexandria,270064,Al Ibrahimiyyah,al-ibrahimiyyah,2594
