download_date,region,fregname,totalposts,subregion,fsubregname,subposts
11292017,Aswan,aswan,3277,Abou Simbel,abou-simbel,25
11292017,Aswan,aswan,3277,Abou al-Reish,abou-al-reish,54
11292017,Aswan,aswan,3277,Aswan City,aswan-city,2310
11292017,Aswan,aswan,3277,Basiliah,basiliah,8
11292017,Aswan,aswan,3277,Daraw,daraw,73
11292017,Aswan,aswan,3277,Edfu,edfu,192
11292017,Aswan,aswan,3277,Kalabsha,kalabsha,37
11292017,Aswan,aswan,3277,Kom Ombo,kom-ombo,480
11292017,Aswan,aswan,3277,Nasr al-Noba,nasr-al-noba,42
11292017,Aswan,aswan,3277,Rdesiah,rdesiah,5
11292017,Aswan,aswan,3277,Sahara,sahara,34
11292017,Aswan,aswan,3277,Sebaeiah,sebaeiah,17
11292017,Asyut,asyut,16210,Abnub,abnub,177
11292017,Asyut,asyut,16210,Abu Teeg,abu-teeg,196
11292017,Asyut,asyut,16210,Asyut City,asyut-city,12342
11292017,Asyut,asyut,16210,Badari,badari,152
11292017,Asyut,asyut,16210,Dairut,dairut,541
11292017,Asyut,asyut,16210,Fateh,fateh,81
11292017,Asyut,asyut,16210,Ghanayem,ghanayem,69
11292017,Asyut,asyut,16210,Manfalut,manfalut,624
11292017,Asyut,asyut,16210,New Assiut,new-assiut,1556
11292017,Asyut,asyut,16210,Qusiya,qusiya,347
11292017,Asyut,asyut,16210,Sahel Selim,sahel-selim,78
11292017,Asyut,asyut,16210,Sedfa,sedfa,47
11292017,Luxor,luxor,3030,Armant,armant,88
11292017,Luxor,luxor,3030,Bayadeya,bayadeya,38
11292017,Luxor,luxor,3030,Isna,isna,259
11292017,Luxor,luxor,3030,Luxor City,luxor-city,2395
11292017,Luxor,luxor,3030,Qurna,qurna,44
11292017,Luxor,luxor,3030,Tod,tod,122
11292017,Luxor,luxor,3030,Zinnia,zinnia,84
11292017,Alexandria,alexandria,268291,Abu Qir,abu-qir,2806
11292017,Alexandria,alexandria,268291,Agami,agami,21730
11292017,Alexandria,alexandria,268291,Al Hadrah,al-hadrah,647
11292017,Alexandria,alexandria,268291,Al Ibrahimiyyah,al-ibrahimiyyah,2864
11292017,Alexandria,alexandria,268291,Alexandria,alexandria,129874
11292017,Alexandria,alexandria,268291,Amreya,amreya,1292
11292017,Alexandria,alexandria,268291,Asafra,asafra,6541
11292017,Alexandria,alexandria,268291,Awayed,awayed,2331
11292017,Alexandria,alexandria,268291,Bacchus,bacchus,1655
11292017,Alexandria,alexandria,268291,Bolkly,bolkly,1064
11292017,Alexandria,alexandria,268291,Borg al-Arab,borg-al-arab,5384
11292017,Alexandria,alexandria,268291,Camp Caesar,camp-caesar,713
11292017,Alexandria,alexandria,268291,Cleopatra,cleopatra,631
11292017,Alexandria,alexandria,268291,Dekheila,dekheila,674
11292017,Alexandria,alexandria,268291,Dhahria,dhahria,1005
11292017,Alexandria,alexandria,268291,Fleming,fleming,4755
11292017,Alexandria,alexandria,268291,Glim,glim,1136
11292017,Alexandria,alexandria,268291,Gomrok,gomrok,794
11292017,Alexandria,alexandria,268291,Kafr Abdo,kafr-abdo,1735
11292017,Alexandria,alexandria,268291,Laurent,laurent,4237
11292017,Alexandria,alexandria,268291,Maamoura,maamoura,2050
11292017,Alexandria,alexandria,268291,Mandara,mandara,5245
11292017,Alexandria,alexandria,268291,Manshiyya,manshiyya,574
11292017,Alexandria,alexandria,268291,Miami,miami,8925
